Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-11-19,Locke,2013,https://boxd.it/1sWQE9,3,,Tom Hardy is a god damn actor. If you ever want to stare at his face and listen to his voice for 90 minutes this is the movie for you.,,2020-11-18
2020-11-21,If Anything Happens I Love You,2020,https://boxd.it/1t5coj,4,,I wept.,,2020-11-20
2020-11-21,Hunt for the Wilderpeople,2016,https://boxd.it/1t85RJ,3.5,,"Joel mentioned this film.
  hilarious eulogy. 
I want to birdwatch.


Ricky Baker is my idol",,2020-11-20
2020-11-27,The Christmas Chronicles,2018,https://boxd.it/1tLDvP,2,,"Happy thanksgiving


Christmas must endure",,2020-11-26
2020-12-06,Mank,2020,https://boxd.it/1uOD37,4,,This film is decorated with delightful details and is like a well-brewed ale: a little bitter and a bit sweeter.,,2020-12-05
2020-12-07,Snowden,2016,https://boxd.it/1uWCqb,2,,"Oof. 
So unbelievable it reads like a rom com at times. 
Also takes itself way too seriously. 

I really wanted to like this, especially because of JGL. The use of Timothy Olyphant feels like some targeted manipulation (a little misguided though not too far off). What the hell is going on in this narrative?",,2020-12-06
2020-12-07,Coherence,2013,https://boxd.it/1uZcoz,3.5,Yes,Shared with Chris and Steph,,2020-12-06
2020-12-14,Persona,1966,https://boxd.it/1vJ9t9,5,,Big questions,,2020-12-13
2020-12-16,Hereditary,2018,https://boxd.it/1vXaQV,4,Yes,"<b>Reactions from first timers:</b>
“I don’t know if regret is the right word.” - Mary Heath
“I still don’t know what to think.” - Ben Wilson

Becca & Myles were also present.","jxnfilmclub, merry",2020-12-15
2020-12-22,Midsommar,2019,https://boxd.it/1wEBi3,5,Yes,Happy winter solstice!,,2020-12-21
2020-12-25,Ma Rainey's Black Bottom,2020,https://boxd.it/1wZXER,4.5,,Two phenomenal characters. One incredible film.,,2020-12-24
2020-12-26,Devs,2020,https://boxd.it/1xgtRl,5,Yes,"Upon second viewing, this is everything I wanted it to be. Bravo, Alex Garland.",,2020-12-26
2020-12-28,An American Pickle,2020,https://boxd.it/1xBp89,5,Yes,Shared with my mom and my sister.,shelby,2020-12-27
2020-12-31,Free Solo,2018,https://boxd.it/1y8nvL,3.5,,This dude does not love anything more than climbing rocks,,2020-12-30
2021-01-02,1BR,2019,https://boxd.it/1yv5BR,3,,I guess this is my first film of the new year,,2021-01-01
2021-01-03,Upgrade,2018,https://boxd.it/1yJt3n,4,,This aged well.,,2021-01-02
2021-01-06,Hereditary,2018,https://boxd.it/1zg5Yv,4,Yes,First watch with Shelby,shelby,2021-01-05
2021-01-06,Spirited Away,2001,https://boxd.it/1zggmH,5,Yes,"Happy 80th birthday, Hayao Miyazaki. This film in particular means so much to me. Thank you.",,2021-01-05
2021-01-08,Knock Knock,2015,https://boxd.it/1zsS09,0.5,,This is not good,,2021-01-07
2021-01-08,The Cabin in the Woods,2011,https://boxd.it/1zwA4b,4,,What a generous feast of fantastic horror!,,2021-01-07
2021-01-10,Dick Johnson Is Dead,2020,https://boxd.it/1zPl23,4.5,,This is special. A little slice of heaven on earth.,,2021-01-09
2021-01-11,Thunder Road,2018,https://boxd.it/1zVlrJ,5,,Sincerely perfect.,,2021-01-10
2021-01-11,Possessor,2020,https://boxd.it/1zYO67,4,,BRUTAL.,,2021-01-10
2021-01-11,Midsommar,2019,https://boxd.it/1A1brL,5,Yes,Chris Ellis’ first watch,,2021-01-10
2021-01-13,Good Burger,1997,https://boxd.it/1AgTSr,3,Yes,"Classic. I always forget Sinbad was so ubiquitous back then. 

Big booty burgers",,2021-01-12
2021-01-14,Whiplash,2014,https://boxd.it/1AtA9j,4,Yes,Jackson Film Club,jxnfilmclub,2021-01-13
2021-01-15,Climax,2018,https://boxd.it/1ABlAl,4,,Did I watch this movie backwards?,,2021-01-14
2021-01-16,The American President,1995,https://boxd.it/1AHIML,3,,Who doesn’t want to fall in love with the president?,,2021-01-15
2021-01-16,Brokeback Mountain,2005,https://boxd.it/1AO7mb,4,Yes,Because I needed a good cry,,2021-01-15
2021-01-17,Black Box,2020,https://boxd.it/1AUTvn,4,,It’s about consciousness and fatherhood. I loved it.,,2021-01-16
2021-01-20,The Lovebirds,2020,https://boxd.it/1BrUaL,2.5,,Cute,,2021-01-19
2021-01-23,There Will Be Blood,2007,https://boxd.it/1BQ30X,4.5,,For Bryson’s birthday,,2021-01-22
2021-01-26,When They See Us,2019,https://boxd.it/1CjX3r,4,,Black lives matter,,2021-01-25
2021-01-29,His House,2020,https://boxd.it/1CFPft,4,,scene composition was so on point,,2021-01-28
2021-01-30,Infinity Chamber,2016,https://boxd.it/1CJKlf,3,,Robot prison is scary yo,,2021-01-29
2021-01-31,The Guest,2014,https://boxd.it/1CWWbd,3.5,,Dan Stevens is a weird actor and I love it,,2021-01-30
2021-02-01,Horse Girl,2020,https://boxd.it/1D4spP,3.5,,I laughed. I was confused. At no point was I disinterested.,,2021-01-31
2021-02-03,Blow the Man Down,2019,https://boxd.it/1DlOSX,4,,"<i>Fargo vibes</i>
<i>—
</i>Somehow more feminist than Fargo, which I already believed to be pretty radical",,2021-02-01
2021-02-03,Groundhog Day,1993,https://boxd.it/1Dnkal,4.5,Yes,Déjà vu,,2021-02-02
2021-02-03,Apostle,2018,https://boxd.it/1DqD1j,3.5,,"Cathartically gory, if that’s your thing 
It’s also worth the world-building first quarter, even if that’s not your thing",,2021-02-02
2021-02-06,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/1DNCAD,5,Yes,"It’s starting to show its age a little, but damn I still cried","in theaters, imax, 4k",2021-02-05
2021-02-10,First Cow,2019,https://boxd.it/1EpKLZ,4.5,Yes,This film about friendship is better with friends,"jxnfilmclub, mattycakes",2021-02-09
2021-02-11,Only God Forgives,2013,https://boxd.it/1Exkwb,5,,"I loved this because I loved DRIVE

re: Mac Quayle: excellent work here",,2021-02-10
2021-02-13,Resolution,2012,https://boxd.it/1EKRgV,4,,Prerequisite viewing for <i>The Endless</i>,,2021-02-12
2021-02-13,Nomadland,2020,https://boxd.it/1EMiud,4,,Some will probably overhype this film but god damn I felt something. It’s about home and grief and America.,"in theaters, imax",2021-02-12
2021-02-14,Benevolent Ba,2020,https://boxd.it/1EWqGV,5,,HYSTERICAL,magnoliaiff,2021-02-13
2021-02-15,The Pervert's Guide to Cinema,2005,https://boxd.it/1F3Zjh,,,If Slavoj Žižek were on Letterboxd I’d follow him,,2021-02-14
2021-02-16,Beyond The Sky,2018,https://boxd.it/1FhkP5,2,,Main dude is not a fucken reporter,,2021-02-15
2021-02-17,Gabby!,2020,https://boxd.it/1Fm9yx,4,,Hah!,magnoliaiff,2021-02-16
2021-02-17,Blocks,2020,https://boxd.it/1Fmoab,3.5,,I’m convinced this is a horror meant to scare people from having kids,magnoliaiff,2021-02-16
2021-02-17,"1, 2, 3, All Eyes On Me",2020,https://boxd.it/1FoGe5,1.5,,"Jesus fucking Christ

I expect this film to be controversial, and I don't want to diminish any nuance that might have been intended in the original screenplay. Mass gun violence is truly America's national shame, and if this film accomplishes anything it is certainly encapsulated in that gut-wrenching ending: a teacher, telling her students, """"Don't worry, they're coming for us, I promise"""" -- and it is very clear to the students that <i>they’re coming </i>does not mean something good.",magnoliaiff,2021-02-16
2021-02-17,Minari,2020,https://boxd.it/1FpsmV,4.5,,Please put this in movie theaters. It’s essential family film.,a24 screening room,2021-02-16
2021-02-19,Night Drive,2019,https://boxd.it/1FGdHN,2.5,,"<i>Pulp Fiction </i>meets <i>TENET</i>, but worse",magnoliaiff,2021-02-18
2021-02-19,How to Stop a Recurring Dream,2021,https://boxd.it/1FGzVx,4,,Reichian score,magnoliaiff,2021-02-18
2021-02-20,Signs,2002,https://boxd.it/1FPvrr,4,Yes,First watch for @matthewlewis,mattycakes,2021-02-19
2021-02-22,Nomadland,2020,https://boxd.it/1G90rv,5,Yes,I went with my sister for her birthday,in theaters,2021-02-21
2021-02-23,Lady Macbeth,2016,https://boxd.it/1GiZJD,5,,I will always remember that waterfall,,2021-02-22
2021-02-24,Kirikou and the Sorceress,1998,https://boxd.it/1Gs9NX,4.5,,"Kirikou is small in size 
But he is wise",,2021-02-23
2021-02-25,Come to Daddy,2019,https://boxd.it/1Gw6Or,4,,Dads are shit sometimes,,2021-02-24
2021-02-25,The Mandela Effect,2019,https://boxd.it/1Gxs5P,3.5,,Uses every goddamn second of its runtime.,,2021-02-24
2021-02-26,Snakes on a Plane,2006,https://boxd.it/1GCV4B,2,,worst playstation ad ever,,2021-02-25
2021-02-26,Judas and the Black Messiah,2021,https://boxd.it/1GFk0D,3.5,,with David and Mary Lee,in theaters,2021-02-25
2021-03-09,"1, 2, 3, All Eyes On Me",2020,https://boxd.it/1Ica9v,5,Yes,"I spent a lot of time thinking about this after I watched it the first time. The film deserves a content warning for the backdrop being a mass shooting of children. 

Initially, I rated this film horribly. I'm here now to defend it. I want to explain what I've come to understand about how I experienced it the first time.

The closest I've been to a school shooting was during my time at Mississippi State University. A student walking around on campus seeking help resulted in a miscommunication between school staff, leading to an alarm being rung out of the greatest sense of precaution. 

From their Facebook page, Starkville Police Department posted this message: ""SPD responded to a reported Active Shooter on Mississippi State campus. One individual was taken into custody and no injuries or shots were reported. An all clear was issued and classes and normal campus operations will resume at 2:00 pm.""

Looking at the police department's post from that day, there are comments where parents repeat false information their children gave them, as though they knew better than the police what had happened. There was not a real danger so it ultimately did not feel very real, because I was asleep at home and not on campus when the lockdown following the alarm transpired.

I had to listen to the stories of my friends before I had any idea what ripples of information did across the campus that day. The ones who did not know what was happening were reacting to text messages from the Maroon Alert system, learning incrementally that there was a reported active shooter. Though no shots were fired, I saw videos of frenzied students running from public view to find a place to hide and understood that fear had gripped my school in a new way. 

1, 2, 3, All Eyes on Me brings that clenched fear into a new perspective by focusing on the actions of one teacher, and one classroom. The film is not visually graphic, but the sound design is rooted in realism and will be extremely chilling.

The first time I watched it, it made me think of my dad. He is a second grade teacher. I watched it and I was angry because I did not want to think about my dad dying like that. He doesn't deserve it. No one does.

Mass gun violence is America's national shame. Recommending this film is difficult but it is necessary, because we need to be talking about why it happens, and how we can stop it from happening again.

I don't want anyone to ever feel the need to tell this story on film again.",,2021-03-08
2021-03-11,Super Mario Bros.,1993,https://boxd.it/1IpCEx,2,,MAR10 MAR10,,2021-03-10
2021-03-12,The Father,2020,https://boxd.it/1IwZXB,3.5,,Heartbreaking performance from Anthony Hopkins,in theaters,2021-03-11
2021-03-13,Nightcrawler,2014,https://boxd.it/1IDlQz,5,,"Stressful af 

Metacommentary on capitalistic media culture",,2021-03-12
2021-03-14,Cherry,2021,https://boxd.it/1ILIx7,3.5,,Chapter Three is everything,,2021-03-13
2021-03-17,The Ides of March,2011,https://boxd.it/1JerCH,4.5,Yes,Honestly this is political porn for me,,2021-03-16
2021-03-24,Chaos Walking,2021,https://boxd.it/1K9mTx,3,,"This was fun and could have been more interesting. 

Mads in a fur coat and is outed as a gaslighting political leader and it’s not something the movie even explores once it’s said out loud. 

The premise is solid but the characters are a bit one-dimensional. 

I like that Holland and Ridley don’t have chemistry, it makes the weird boner noise-thoughts funnier because it’s honest. Dude has literally never seen a girl before, he can’t help his brain chemistry.",in theaters,2021-03-23
2021-03-25,Palm Springs,2020,https://boxd.it/1KhpIj,4.5,,I’ve never seen an assassin break up with his target before,,2021-03-24
2021-03-28,Enter the Void,2009,https://boxd.it/1KDKKp,5,,"It has been 22 days since I saw ENTER THE VOID and I am just now sitting down to record my thoughts.

This is my third Gaspar Noé film. 
The first one I watched was LOVE (2015). 
The second was CLIMAX (2018). 

Both of those entries helped prepare me for what I believe is Noé's most important story. The graphic nature of the sexual relationship explored in LOVE scandalized me, but it reveals Noé's own attitudes and revelations about sex as a creative force—inseparable from human nature. Dizzying heights of top-down camerawork in CLIMAX have their cinematographic roots in Noé's ENTER THE VOID. By the time I reached this film, I had a sense of the gravity that draws the filmmaker to such raw imagery. 

There isn't anything hidden in this film. The characters on their own are not redeemable but the trauma the viewer witnesses through the subjective lens of the protagonist is capable of invoking strong empathetic connections. I could not turn my face away, regardless of how great the feeling of dread grew in the space around me.

It is not possible for me to recommend this movie to anyone personally. I view this work similar to how I view ancient religious texts: there is wisdom contained within, but also much pain. It is an authorial vision capable of changing you for better or worse.","profile, metamodern",2021-03-27
2021-03-30,V/H/S,2012,https://boxd.it/1KXpKD,3,Yes,"I chose to rewatch this because I knew it would mostly annoy me

That's a legit reason to watch a movie, right?",,2021-03-29
2021-04-05,Solaris,1972,https://boxd.it/1LOX6N,5,,"My first Tarkovsky to celebrate his 89th birthday 

Perfect film",,2021-04-04
2021-04-06,Sound of Metal,2019,https://boxd.it/1M4LrB,5,Yes,"With mom, Chris, and Stephanie",,2021-04-05
2021-04-08,First Reformed,2017,https://boxd.it/1MhrVR,5,,My mom walked in at the same time Amanda Seyfried walks in during the final shot and she thought it was nice that they had a happy ending,,2021-04-07
2021-04-11,Walk Hard: The Dewey Cox Story,2007,https://boxd.it/1MFN73,4,,"Hilarious

Recommended by George",,2021-04-10
2021-04-13,Nimic,2019,https://boxd.it/1N5gen,2.5,,I once had a roommate who told me he sometimes placed straight edge razors around me on the bed and rubbed his nipples while I slept and this short film is the same type of what-the-fuck weird.,mubi,2021-04-12
2021-04-15,No Country for Old Men,2007,https://boxd.it/1NgPwj,5,Yes,It was a treat to see this for the first Jackson Film Club private screening in a theater. Chigurh is forever unnerving and terrifying.,"in theaters, jxnfilmclub, mattycakes",2021-04-13
2021-04-15,The Return,2018,https://boxd.it/1Nml4h,4,,A capture of the profound loneliness of asking where one comes from,mubi,2021-04-14
2021-04-18,Synchronic,2019,https://boxd.it/1NNggB,4,,"“The present is a miracle, bruh”",,2021-04-17
2021-04-19,Tideland,2005,https://boxd.it/1NVqmv,,,One of the worst films I’ve ever seen,mubi,2021-04-18
2021-04-23,"Empathy, Inc.",2018,https://boxd.it/1OqHCx,4,,"Body swaps are all the rage these days. 
This is fun. It is philosophically inconsistent, but that’s part of the metanarrative. I didn’t decide on 4 stars until the final shot. 

Main dude is sexy af.",,2021-04-22
2021-04-24,Dogtooth,2009,https://boxd.it/1OyiwP,4,,Why is this movie about my parents,mubi,2021-04-23
2021-04-24,The Matrix,1999,https://boxd.it/1OBbhT,4,Yes,For Mary Lee’s birthday party,,2021-04-23
2021-04-27,Fear & Shame,2017,https://boxd.it/1P7eWT,4,,thank god for therapy,,2021-04-26
2021-04-28,The Tree of Life,2011,https://boxd.it/1PeWsd,5,,I watched the extended version so I need Letterboxd to give me those additional 49 minutes of runtime in my stats,criterion,2021-04-27
2021-05-03,Blade Runner,1982,https://boxd.it/1PS2rj,5,,"It doesn’t matter whether Deckard is a replicant

This story is about facing the fear of death",directors cut,2021-05-02
2021-05-04,Hereditary,2018,https://boxd.it/1Q6z0N,4,Yes,“I’m a burden. I’m a burden. I’m a burden.”,,2021-05-03
2021-05-05,Drive,2011,https://boxd.it/1QbODF,5,Yes,I watched this with Austin for his first time,,2022-01-31
2021-05-10,A Man Called Ove,2015,https://boxd.it/1QO5Bx,5,,"THIS IS THE LIFE.

I want to grow up to be a grandpa like Ove",mubi,2021-05-09
2021-05-10,The Babadook,2014,https://boxd.it/1QSkaz,4,,Great Mother’s Day picture,,2021-05-09
2021-05-12,Scott Pilgrim vs. the World,2010,https://boxd.it/1R7DM3,4.5,Yes,I’m on a kick of rewatching my top 20 apparently,in theaters,2021-05-11
2021-05-21,Eden,2018,https://boxd.it/1Sf3FZ,2.5,,WHAT'S IN THE BOX??!!,dust,2021-05-20
2021-05-21,Arrival,2016,https://boxd.it/1SgWeV,4,Yes,I am so excited for DUNE.,,2021-05-20
2021-06-01,The Assistant,2019,https://boxd.it/1TP3fX,4,,That woman deserved her Marlboro moment,,2021-05-31
2021-06-07,Another Round,2020,https://boxd.it/1UEyMF,5,,Why do I really want to kiss somebody after this?,,2021-06-06
2021-06-11,Blade Runner,1982,https://boxd.it/1V7oEf,5,Yes,Jackson Film Club screening of the final cut,"in theaters, jxnfilmclub, mattycakes",2021-06-10
2021-06-11,Blade Runner 2049,2017,https://boxd.it/1V8wh1,5,Yes,6.10.21,,2021-06-10
2021-06-12,The Holy Mountain,1973,https://boxd.it/1VbDTx,5,,The ending was absolutely worth it,mubi,2021-06-11
2021-06-13,The Wise Kids,2011,https://boxd.it/1Vo8gP,5,,I cried,mubi,2021-06-12
2021-06-15,Good Time,2017,https://boxd.it/1VBMi3,4,Yes,Watched with Bailey,,2021-06-14
2021-06-17,Reign of Fire,2002,https://boxd.it/1VQ1eD,3,Yes,"If I tried to argue this film is about climate change it would be shoehorning meaning where there is no substance


Cool dragon movie though",primevideo,2021-06-16
2021-06-17,The Fare,2018,https://boxd.it/1VSGGx,3,,"To be frank do not read the description, just go into this blind. 

It is fun",primevideo,2021-06-16
2021-06-19,The Descent,2005,https://boxd.it/1W6ukR,4,,"When this turns into a fucking monster movie, <b>it</b> <b>turns into a fucking monster movie</b>",primevideo,2021-06-18
2021-06-22,Midsommar,2019,https://boxd.it/1WtTwT,5,Yes,"Happy summer solstice

This is my 10th recorded viewing. 
As of writing I hold an unofficial count of 20 times.","4k, directors cut",2021-06-20
2021-06-22,Luca,2021,https://boxd.it/1WwX0N,5,,"It’s about coming of age, rites of passage, and finding your place in the world. Of course I loved it.",disney+,2021-06-21
2021-06-25,The Neon Demon,2016,https://boxd.it/1WOGbP,4,,Definitely a different perspective for Refn,primevideo,2021-06-24
2021-06-26,Napoleon Dynamite,2004,https://boxd.it/1WY2nB,2.5,Yes,Pointless,hulu,2021-06-25
2021-06-26,F9,2021,https://boxd.it/1WZkvZ,3,,"I think it’s pretty cool how Dom was like “people change” and turned down the mission then needed no other persuasion to change his mind and accept the mission.

That’s the kind of self-determination I love to see in my main characters",in theaters,2021-06-25
2021-06-28,Princess Mononoke,1997,https://boxd.it/1XgPop,5,Yes,Lady Eboshi chose violence,4k,2021-06-27
2021-06-29,Call Me by Your Name,2017,https://boxd.it/1XocXr,4.5,Yes,No way Pixar made LUCA and did not think of this movie ,4k,2021-06-28
2021-06-30,Melancholia,2011,https://boxd.it/1XwIUZ,5,,I feel like I’m going to be happy this was my first Lars von Trier,hulu,2021-06-29
2021-07-03,A.I. Artificial Intelligence,2001,https://boxd.it/1XR5qN,4.5,,"The Spielberg effect is a little lost in time with the advance of graphic technologies but the ending is absolutely perfect.

I'm totally here for sex robot Jude Law. ",youtube,2021-07-02
2021-07-06,The Tomorrow War,2021,https://boxd.it/1YqJbj,1.5,,Don’t waste your time,primevideo,2021-07-05
2021-07-08,Parasite,2019,https://boxd.it/1YGh9B,5,Yes,This was my first viewing of the black & white version,criterion,2021-07-07
2021-07-09,Black Widow,2021,https://boxd.it/1YO411,3.5,,"BLACK WIDOW is ScarJo doing a relay race and handing the baton to FlorPu who stole every scene she was in 

I liked the first act but I think general audiences will find it slow at worst and sentimental at best. It’s not clear to me what the intention was.

The second act is interesting. The third act was Marvel being Marvel. 

I cannot wait to see more of Florence Pugh on the big screen.",in theaters,2021-07-08
2021-07-10,Clue,1985,https://boxd.it/1YUvDN,4,Yes,funnier than I remember,primevideo,2021-07-09
2021-07-13,A Ghost Story,2017,https://boxd.it/1ZrSHf,4,Yes,"In memory of Abigail Ainsworth-Gibson

Rest In Peace",netflix,2021-07-12
2021-07-17,Shrek,2001,https://boxd.it/2024Q1,5,Yes,"“Celebrity marriages: they never last, do they?”",hulu,2021-07-16
2021-07-18,Barb & Star Go to Vista Del Mar,2021,https://boxd.it/206LIR,4,,Perfect summer flick,hulu,2021-07-17
2021-07-18,The Bourne Supremacy,2004,https://boxd.it/20bEQf,3,,Not really my thing but Matt Damon can get it,appletv,2021-07-17
2021-07-19,Little Monsters,2019,https://boxd.it/20n2gH,3.5,,Lupita Nyong’o is incredible but the men in this movie are worthless,hulu,2021-07-18
2021-07-23,Alien,1979,https://boxd.it/20VsVf,5,,Jackson Film Club monthly feature,jxnfilmclub,2021-07-22
2021-07-25,Midsommar,2019,https://boxd.it/219R3b,5,Yes,Why watch a movie I’ve never seen before when I can watch one I’ve already seen too much?,directors cut,2021-07-24
2021-07-25,Snake Eyes: G.I. Joe Origins,2021,https://boxd.it/21dCU3,2.5,,"The cinematography is great. The dialogue reminds you this is a franchise made to sell toys based on cartoons with tropey  lore.


It’s fun if it’s on a big screen. Weirdly this passes the Bechdel test.","in theaters, merry",2021-07-24
2021-07-26,The Strange Thing About the Johnsons,2011,https://boxd.it/21qjVx,4,,I see you Pawel,youtube,2021-07-25
2021-07-28,Atlas Shrugged: Part II,2012,https://boxd.it/21EWVJ,0.5,,Incomprehensible garbage,youtube,2021-07-27
2021-08-03,The Green Knight,2021,https://boxd.it/22yjGR,5,Yes,"<blockquote>“Truth is like poetry.
And most people fucking hate poetry.”
― Adam McKay</blockquote>David Lowery approaches filmmaking as a poet and not a writer of prose. His films emphasize highly stylized visual language and emotional provocation over other things general audiences prioritize like action or romance. These things are present but they are put into their time.

As someone who hated poetry in high school and has come to respect it as a medium, I see what David Lowery is doing. If I could say something to him, it would be ""Thank you for sticking with this project and seeing it through to the end. I absolutely loved it.""","in theaters, samo, markvs, lumberjake",2021-08-02
2021-08-04,Violet Evergarden: Eternity and the Auto Memory Doll,2019,https://boxd.it/22GH4t,3,,"I watched this at the request of my sister. 

Not really my thing but it was pretty to look at 
(which is generally my approach for all women)",primevideo,2021-08-03
2021-08-11,The Ticket,2016,https://boxd.it/23JN1b,3,,This is the opposite of <i>Sound of Metal</i>,youtube,2021-08-10
